Council,No_Of_Connections,Month,Year,Type
Donegal,264,July,2007,County
Dun Laoghaire,204,July,2007,County
Fingal,345,July,2007,County
Galway,223,July,2007,County
Kerry,180,July,2007,County
Kildare,221,July,2007,County
Kilkenny,124,July,2007,County
Laois,141,July,2007,County
Leitrim,71,July,2007,County
Limerick,102,July,2007,County
Longford,148,July,2007,County
Louth,99,July,2007,County
Mayo,154,July,2007,County
Meath,155,July,2007,County
Monaghan,57,July,2007,County
North Tipperary,54,July,2007,County
Offaly,79,July,2007,County
Roscommon,76,July,2007,County
Sligo,66,July,2007,County
South Dublin,377,July,2007,County
South Tipperary,64,July,2007,County
Waterford,84,July,2007,County
Westmeath,80,July,2007,County
Wexford,144,July,2007,County
Carlow,61,August,2007,County
Cavan,227,August,2007,County
Clare,151,August,2007,County
Cork,550,August,2007,County
Donegal,284,August,2007,County
Dun Laoghaire,269,August,2007,County
Fingal,329,August,2007,County
Galway,223,August,2007,County
Kerry,262,August,2007,County
Kildare,194,August,2007,County
Kilkenny,144,August,2007,County
Laois,137,August,2007,County
Leitrim,91,August,2007,County
Limerick,165,August,2007,County
Longford,65,August,2007,County
Louth,151,August,2007,County
Mayo,170,August,2007,County
Meath,180,August,2007,County
Monaghan,95,August,2007,County
North Tipperary,95,August,2007,County
Offaly,120,August,2007,County
Roscommon,116,August,2007,County
Sligo,72,August,2007,County
South Dublin,196,August,2007,County
South Tipperary,63,August,2007,County
Waterford,99,August,2007,County
Westmeath,143,August,2007,County
Wexford,303,August,2007,County
Carlow,72,September,2007,County
Cavan,214,September,2007,County
Clare,161,September,2007,County
Cork,550,September,2007,County
Donegal,423,September,2007,County
Dun Laoghaire,422,September,2007,County
Fingal,419,September,2007,County
Galway,243,September,2007,County
Kerry,206,September,2007,County
Kildare,296,September,2007,County
Kilkenny,76,September,2007,County
Laois,136,September,2007,County
Leitrim,73,September,2007,County
Limerick,146,September,2007,County
Longford,126,September,2007,County
Louth,173,September,2007,County
Mayo,161,September,2007,County
Meath,144,September,2007,County
Monaghan,129,September,2007,County
North Tipperary,101,September,2007,County
Offaly,119,September,2007,County
Roscommon,140,September,2007,County
Sligo,101,September,2007,County
South Dublin,310,September,2007,County
South Tipperary,93,September,2007,County
Waterford,110,September,2007,County
Westmeath,183,September,2007,County
Wexford,260,September,2007,County
Carlow,59,October,2007,County
Cavan,162,October,2007,County
Clare,255,October,2007,County
Cork,731,October,2007,County
Donegal,358,October,2007,County
Dun Laoghaire,282,October,2007,County
Fingal,414,October,2007,County
Galway,430,October,2007,County
Kerry,187,October,2007,County
Kildare,315,October,2007,County
Kilkenny,124,October,2007,County
Laois,214,October,2007,County
Leitrim,64,October,2007,County
Limerick,267,October,2007,County
Longford,167,October,2007,County
Louth,180,October,2007,County
Mayo,231,October,2007,County
Meath,168,October,2007,County
Monaghan,83,October,2007,County
North Tipperary,77,October,2007,County
Offaly,100,October,2007,County
Roscommon,139,October,2007,County
Sligo,120,October,2007,County
South Dublin,222,October,2007,County
South Tipperary,162,October,2007,County
Waterford,142,October,2007,County
Westmeath,188,October,2007,County
Wexford,356,October,2007,County
Carlow,62,November,2007,County
Cavan,181,November,2007,County
Clare,258,November,2007,County
Cork,756,November,2007,County
Donegal,372,November,2007,County
Dun Laoghaire,291,November,2007,County
Fingal,426,November,2007,County
Galway,457,November,2007,County
Kerry,193,November,2007,County
Kildare,322,November,2007,County
Kilkenny,132,November,2007,County
Laois,217,November,2007,County
Leitrim,69,November,2007,County
Limerick,277,November,2007,County
Longford,172,November,2007,County
Louth,188,November,2007,County
Mayo,244,November,2007,County
Meath,196,November,2007,County
Monaghan,84,November,2007,County
North Tipperary,80,November,2007,County
Offaly,101,November,2007,County
Roscommon,145,November,2007,County
Sligo,126,November,2007,County
South Dublin,230,November,2007,County
South Tipperary,170,November,2007,County
Waterford,145,November,2007,County
Westmeath,193,November,2007,County
Wexford,364,November,2007,County
Carlow,106,December,2007,County
Cavan,219,December,2007,County
Clare,203,December,2007,County
Cork,628,December,2007,County
Donegal,353,December,2007,County
Dun Laoghaire,312,December,2007,County
Fingal,244,December,2007,County
Galway,294,December,2007,County
Kerry,265,December,2007,County
Kildare,167,December,2007,County
Kilkenny,181,December,2007,County
Laois,203,December,2007,County
Leitrim,65,December,2007,County
Limerick,327,December,2007,County
Longford,120,December,2007,County
Louth,140,December,2007,County
Mayo,232,December,2007,County
Meath,163,December,2007,County
Monaghan,78,December,2007,County
North Tipperary,116,December,2007,County
Offaly,133,December,2007,County
Roscommon,81,December,2007,County
Sligo,116,December,2007,County
South Dublin,270,December,2007,County
South Tipperary,83,December,2007,County
Waterford,140,December,2007,County
Westmeath,116,December,2007,County
Wexford,213,December,2007,County
Carlow,44,January,2008,County
Cavan,124,January,2008,County
Clare,100,January,2008,County
Cork,421,January,2008,County
Donegal,155,January,2008,County
Dun Laoghaire,335,January,2008,County
Fingal,204,January,2008,County
Galway,188,January,2008,County
Kerry,94,January,2008,County
Kildare,176,January,2008,County
Kilkenny,147,January,2008,County
Laois,94,January,2008,County
Leitrim,44,January,2008,County
Limerick,115,January,2008,County
Longford,76,January,2008,County
Louth,143,January,2008,County
Mayo,122,January,2008,County
Meath,207,January,2008,County
Monaghan,105,January,2008,County
North Tipperary,54,January,2008,County
Offaly,134,January,2008,County
Roscommon,196,January,2008,County
Sligo,117,January,2008,County
South Dublin,262,January,2008,County
South Tipperary,96,January,2008,County
Waterford,107,January,2008,County
Westmeath,108,January,2008,County
Wexford,159,January,2008,County
Carlow,61,February,2008,County
Cavan,90,February,2008,County
Clare,152,February,2008,County
Cork,515,February,2008,County
Donegal,297,February,2008,County
Dun Laoghaire,230,February,2008,County
Fingal,205,February,2008,County
Galway,210,February,2008,County
Kerry,197,February,2008,County
Kildare,140,February,2008,County
Kilkenny,127,February,2008,County
Laois,160,February,2008,County
Leitrim,65,February,2008,County
Limerick,181,February,2008,County
Longford,54,February,2008,County
Louth,160,February,2008,County
Mayo,201,February,2008,County
Meath,128,February,2008,County
Monaghan,88,February,2008,County
North Tipperary,102,February,2008,County
Offaly,92,February,2008,County
Roscommon,122,February,2008,County
Sligo,75,February,2008,County
South Dublin,162,February,2008,County
South Tipperary,108,February,2008,County
Waterford,91,February,2008,County
Westmeath,158,February,2008,County
Wexford,215,February,2008,County
Carlow,38,March,2008,County
Cavan,111,March,2008,County
Clare,94,March,2008,County
Cork,381,March,2008,County
Donegal,225,March,2008,County
Dun Laoghaire,86,March,2008,County
Fingal,82,March,2008,County
Galway,179,March,2008,County
Kerry,154,March,2008,County
Kildare,129,March,2008,County
Kilkenny,57,March,2008,County
Laois,102,March,2008,County
Leitrim,50,March,2008,County
Limerick,129,March,2008,County
Longford,66,March,2008,County
Louth,62,March,2008,County
Mayo,152,March,2008,County
Meath,187,March,2008,County
Monaghan,47,March,2008,County
North Tipperary,77,March,2008,County
